0 1:14.37466280991206 2:0 3:-0.1 4:-100 5:1 6:1 7:1 8:1 9:0 10:-100 11:-100 12:-100 13:0
1 1:5.53338948872752 2:0 3:-0.1 4:-100 5:1 9:0 10:-100 11:-100 12:-100 13:0 14:1 15:1 16:1
1 1:5.493061443340548 2:0 3:-0.1 4:-100 5:1 9:0 10:-100 11:-100 12:-100 13:0 14:1 15:1 16:1
2 1:5.159055299214529 2:0 3:-0.1 4:-100 5:1 7:1 9:0 10:-100 11:-100 12:-100 13:0 17:1 18:1
2 1:5.159055299214529 2:0 3:-0.1 4:-100 5:1 7:1 9:0 10:-100 11:-100 12:-100 13:0 17:1 18:1
3 1:14.15272751721074 2:0 3:-0.1 4:-100 5:1 9:0 10:-100 11:-100 12:-100 13:0 19:1 20:1 21:1
2 1:5.159055299214529 2:0 3:-0.1 4:-100 5:1 7:1 9:0 10:-100 11:-100 12:-100 13:0 17:1 18:1
4 1:13.64706823742015 2:0 3:-0.1 4:-100 5:1 9:0 10:-100 11:-100 12:-100 13:0 20:1 21:1 22:1
5 1:9.028338763993148 2:0 3:-0.1 4:-100 5:1 7:1 9:0 10:-100 11:-100 12:-100 13:0 23:1 24:1
6 1:5.170483995038151 2:0 3:-0.1 4:-100 5:1 7:1 9:0 10:-100 11:-100 12:-100 13:0 25:1 26:1
7 1:5.472270673671475 2:0 3:-0.1 4:-100 5:1 9:0 10:-100 11:-100 12:-100 13:0 15:1 27:1 28:1
2 1:5.159055299214529 2:0 3:-0.1 4:-100 5:1 7:1 9:0 10:-100 11:-100 12:-100 13:0 17:1 18:1
6 1:5.170483995038151 2:0 3:-0.1 4:-100 5:1 7:1 9:0 10:-100 11:-100 12:-100 13:0 25:1 26:1
5 1:9.330963814299922 2:0 3:-0.1 4:-100 5:1 7:1 9:0 10:-100 11:-100 12:-100 13:0 29:1 30:1
3 1:14.287629448466687 2:0 3:-0.1 4:-100 5:1 9:0 10:-100 11:-100 12:-100 13:0 19:1 20:1 21:1
7 1:12.189790812955891 2:0 3:-0.1 4:-100 5:1 7:1 9:0 10:-100 11:-100 12:-100 13:0 27:1 31:1
5 1:9.330963814299922 2:0 3:-0.1 4:-100 5:1 7:1 9:0 10:-100 11:-100 12:-100 13:0 29:1 30:1
3 1:13.747563567924026 2:0 3:-0.1 4:-100 5:1 9:0 10:-100 11:-100 12:-100 13:0 19:1 20:1 21:1
8 1:9.916699884008263 2:0 3:-0.1 4:-100 5:1 9:0 10:-100 11:-100 12:-100 13:0 15:1 29:1 32:1
7 1:5.480638923341991 2:0 3:-0.1 4:-100 5:1 9:0 10:-100 11:-100 12:-100 13:0 15:1 27:1 28:1
3 1:14.832262543688449 2:0 3:-0.1 4:-100 5:1 9:0 10:-100 11:-100 12:-100 13:0 19:1 20:1 21:1
0 1:14.101993161340555 2:0 3:-0.1 4:-100 5:1 7:1 9:0 10:-100 11:-100 12:-100 13:0 33:1 34:1
0 1:14.19375313927953 2:0 3:-0.1 4:-100 5:1 7:1 8:1 9:0 10:-100 11:-100 12:-100 13:0 35:1
0 1:14.130831386664964 2:0 3:-0.1 4:-100 5:1 7:1 8:1 9:0 10:-100 11:-100 12:-100 13:0 36:1
3 1:13.638844975946476 2:0 3:-0.1 4:-100 5:1 9:0 10:-100 11:-100 12:-100 13:0 19:1 20:1 21:1
0 1:14.147059265311336 2:0 3:-0.1 4:-100 5:1 7:1 9:0 10:-100 11:-100 12:-100 13:0 34:1 37:1
1 1:5.497168225293202 2:0 3:-0.1 4:-100 5:1 9:0 10:-100 11:-100 12:-100 13:0 14:1 15:1 16:1
7 1:5.517452896464707 2:0 3:-0.1 4:-100 5:1 9:0 10:-100 11:-100 12:-100 13:0 15:1 27:1 28:1
1 1:12.91096557392017 2:0 3:-0.1 4:-100 5:1 9:0 10:-100 11:-100 12:-100 13:0 14:1 20:1 21:1
1 1:5.5093883366279774 2:0 3:-0.1 4:-100 5:1 9:0 10:-100 11:-100 12:-100 13:0 14:1 15:1 16:1
